Year,Species,REGION NO. 57 - INDIAN OCEAN EAST - Andhra- Pradesh,REGION NO. 57 - INDIAN OCEAN EAST - Orissa,REGION NO. 57 - INDIAN OCEAN EAST - Tamil Nadu,REGION NO. 57 - INDIAN OCEAN EAST - West Bengal,REGION NO. 57 - INDIAN OCEAN EAST - Andaman & Nicobar,REGION NO. 57 - INDIAN OCEAN EAST - Pondi- cherry,REGION NO. 57 - INDIAN OCEAN EAST - Total,REGION NO. 51 - INDIAN OCEAN WEST - Gujarat,REGION NO. 51 - INDIAN OCEAN WEST - Karnataka,REGION NO. 51 - INDIAN OCEAN WEST - Kerala,REGION NO. 51 - INDIAN OCEAN WEST - Maharashtra,REGION NO. 51 - INDIAN OCEAN WEST - Goa,REGION NO. 51 - INDIAN OCEAN WEST - Lakshadweep,REGION NO. 51 - INDIAN OCEAN WEST - Daman & Diu,REGION NO. 51 - INDIAN OCEAN WEST - Total,Total for India,Sl. No.,REGION NO. 57 - INDIAN OCEAN EAST - A.P.,REGION NO. 57 - INDIAN OCEAN EAST - T.N.,REGION NO. 57 - INDIAN OCEAN EAST - W.B.,REGION NO. 57 - INDIAN OCEAN EAST - A & N Islands,REGION NO. 57 - INDIAN OCEAN EAST - Puducherry
2011,Euthynnus Affinis (Kawa Kawa),,1134.0,,,,,4296,0.0,96.0,,,,1244.0,213.0,1553,5849,33,3162.0,0.0,,0.0,
2011,Katsuwonus Pelamis (Skipjack Tuna),,,,,,,2944,0.0,,11920.0,,,4020.0,50.0,15990,18934,34,2870.0,0.0,,74.0,
2011,Thunnus Tonggol (Long Tail Tuna),,,,,,,3692,0.0,105.0,,,,,112.0,217,3909,35,3692.0,0.0,,0.0,
2011,Istiophoridae (Marlin Sailfish),,,,,,,2499,0.0,0.0,,,3801.0,,22.0,3823,6322,36,2135.0,0.0,,364.0,
2011,Scombridae (Tuna Like Fishes),,1498.0,,,,,12288,60650.0,13721.0,,0.0,49.0,,44.0,74464,86752,37,1628.0,7215.0,0.0,1947.0,
2011,Trichiuridae (Hair Tails),,5536.0,,,,,27734,0.0,30273.0,,24073.0,22128.0,,4169.0,80643,108377,38,9027.0,8601.0,4570.0,0.0,
2011,Rastelliger Ranagueta Indian Macker,,,,,,,40003,11454.0,2828.0,2909.0,31118.0,732.0,,357.0,49398,89401,39,14750.0,12418.0,10412.0,0.0,2423.0
2011,"Elasmobranches (Shark, Rays, Skates)",,4359.0,,,,,43312,142603.0,7823.0,116676.0,8718.0,,546.0,495.0,276861,320173,40,16820.0,9089.0,8382.0,3615.0,1047.0
2011,Other Marine Fishes,,14966.0,,,,,80783,9881.0,18127.0,47007.0,34009.0,,759.0,0.0,109783,190566,41,24298.0,27724.0,13795.0,0.0,0.0
2011,Decapods - (a) Penaeid Prawn,,8437.0,,,,,68434,29946.0,2557.0,1679.0,37515.0,8008.0,,469.0,80174,148608,42,16701.0,32090.0,8448.0,490.0,2268.0
2011,Decapods - (b) Non-Penaeid Prawn,,2210.0,,,,,24763,7167.0,2820.0,394.0,62785.0,,,142.0,73308,98071,43,9649.0,8577.0,3396.0,184.0,747.0
